PRCDDA,Province,Dissemination area (DA) Population,Residential instability Quintiles,Residential instability Scores,Economic dependency Quintiles,Economic dependency Scores,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Situational vulnerability Quintiles,Situational vulnerability Scores
35010155,Ontario,471,1,-0.866,4,0.108,1,-0.962,4,0.364
35010156,Ontario,473,2,-0.547,4,0.398,2,-0.701,4,0.202
35010157,Ontario,449,1,-0.841,2,-0.547,1,-0.941,3,-0.157
35010158,Ontario,523,2,-0.552,4,0.295,2,-0.648,4,0.351
35010159,Ontario,474,1,-0.821,3,-0.266,2,-0.700,4,0.128
35010160,Ontario,529,2,-0.622,2,-0.580,1,-0.891,4,0.028
35010161,Ontario,361,2,-0.619,4,0.367,1,-0.825,4,0.051
35010162,Ontario,347,3,-0.243,5,2.328,1,-0.926,4,0.060
35010163,Ontario,455,1,-0.812,4,0.292,2,-0.737,4,0.054
35010164,Ontario,431,1,-0.960,5,1.122,1,-0.928,4,0.365
35010165,Ontario,413,3,-0.509,3,0.082,2,-0.695,4,0.126
35010166,Ontario,400,1,-0.906,3,-0.063,1,-0.881,4,0.047
35010167,Ontario,535,2,-0.694,4,0.341,1,-0.785,4,0.159
35010168,Ontario,451,2,-0.674,2,-0.527,1,-0.809,3,-0.357
35010169,Ontario,464,2,-0.729,3,-0.084,1,-0.787,3,-0.059
35010170,Ontario,441,1,-0.863,3,-0.248,1,-0.906,2,-0.383
35010171,Ontario,463,1,-0.991,4,0.377,1,-0.833,3,-0.094
35010172,Ontario,1025,2,-0.724,2,-0.382,2,-0.761,3,-0.293
35010173,Ontario,723,1,-0.956,4,0.471,1,-0.996,1,-0.750
35010179,Ontario,572,1,-0.797,2,-0.437,2,-0.686,2,-0.449
35010180,Ontario,976,4,0.020,5,0.893,3,-0.503,3,-0.274
35010181,Ontario,371,2,-0.763,4,0.584,2,-0.562,2,-0.379
35010182,Ontario,434,1,-0.910,5,1.707,1,-0.899,3,-0.231
35010183,Ontario,687,4,0.718,5,0.717,4,0.264,4,0.393
35010184,Ontario,406,2,-0.552,5,1.252,1,-1.002,2,-0.657
35010185,Ontario,860,5,1.211,5,2.380,3,-0.248,4,0.528
35010186,Ontario,627,4,0.207,5,1.138,1,-0.780,4,0.336
35010187,Ontario,444,5,1.534,5,1.663,2,-0.594,5,0.889
35010188,Ontario,409,4,0.221,4,0.425,2,-0.597,5,1.178
35010189,Ontario,396,3,-0.464,2,-0.561,1,-0.907,2,-0.429
35010190,Ontario,397,4,0.500,5,0.791,2,-0.593,5,0.889
35010191,Ontario,382,5,1.261,5,0.874,2,-0.674,5,0.903
35010192,Ontario,422,4,0.384,4,0.169,3,-0.268,5,0.538
35010193,Ontario,298,5,1.848,5,0.980,3,-0.292,5,2.208
35010194,Ontario,387,5,1.709,5,0.671,3,-0.453,5,2.940
35010195,Ontario,353,5,2.278,5,0.855,3,-0.443,5,3.562
35010196,Ontario,310,5,1.810,5,1.312,2,-0.570,5,2.639
35010197,Ontario,384,5,1.710,4,0.218,3,-0.497,5,2.277
35010198,Ontario,350,5,2.464,5,4.092,1,-0.805,5,1.695
35010199,Ontario,450,5,2.185,5,0.776,3,-0.552,5,3.486
35010200,Ontario,427,5,0.989,5,1.453,4,-0.108,5,2.089
35010201,Ontario,239,3,-0.423,5,0.658,1,-1.220,5,6.265
35010202,Ontario,358,5,1.135,5,0.809,2,-0.660,5,1.271
35010203,Ontario,434,5,1.384,5,1.016,2,-0.656,5,1.124
35010204,Ontario,514,5,2.025,5,3.126,3,-0.531,4,0.453
35010205,Ontario,340,5,1.563,4,0.298,2,-0.679,5,1.439
35010206,Ontario,428,4,0.525,5,1.073,2,-0.715,4,0.339
35010207,Ontario,303,4,0.005,5,1.262,1,-0.779,4,0.313
35010208,Ontario,462,4,0.650,5,0.652,3,-0.232,5,0.839
35010209,Ontario,418,5,1.191,4,0.292,2,-0.603,5,1.636
35010210,Ontario,509,5,2.483,5,2.039,1,-0.842,5,1.337
35010211,Ontario,459,5,0.822,4,0.240,3,-0.464,5,0.972
35010212,Ontario,452,5,1.354,4,0.627,2,-0.678,5,1.447
35010213,Ontario,536,4,-0.013,5,0.829,2,-0.722,5,1.493
35010214,Ontario,345,4,0.112,4,0.096,2,-0.578,5,1.370
35010215,Ontario,483,4,0.209,5,0.927,3,-0.549,5,0.559
35010216,Ontario,477,4,-0.081,4,0.629,1,-0.781,2,-0.461
35010217,Ontario,869,4,0.183,5,0.917,3,-0.522,5,0.743
35010218,Ontario,459,4,0.433,5,1.064,2,-0.707,5,1.426
35010219,Ontario,483,4,0.089,5,1.242,1,-0.827,4,0.273
35010220,Ontario,468,4,0.033,5,0.756,2,-0.699,5,0.792
35010221,Ontario,457,4,0.440,5,1.546,1,-0.785,5,0.602
35010222,Ontario,445,4,0.580,5,0.891,3,-0.427,5,0.899
35010223,Ontario,568,5,0.938,5,1.536,2,-0.705,5,0.847
35010224,Ontario,528,4,0.006,4,0.583,3,-0.387,5,0.863
35010225,Ontario,767,5,1.646,5,1.350,4,0.112,5,1.870
35010226,Ontario,412,5,2.262,5,1.252,4,0.137,5,1.028
35010227,Ontario,330,4,-0.026,5,1.610,2,-0.696,3,-0.195
35010228,Ontario,597,3,-0.417,3,-0.216,1,-0.909,1,-0.822
35010229,Ontario,581,2,-0.700,3,-0.199,2,-0.733,2,-0.679
35010230,Ontario,371,1,-0.927,5,0.855,3,-0.505,1,-0.927
35010231,Ontario,404,2,-0.580,4,0.481,1,-0.793,2,-0.535
35010232,Ontario,432,1,-0.826,5,0.765,1,-0.864,4,0.079
35010233,Ontario,526,3,-0.460,5,0.672,2,-0.632,3,-0.312
35010234,Ontario,462,3,-0.314,2,-0.480,1,-0.869,4,0.074
35010235,Ontario,405,5,1.196,5,1.288,1,-0.924,3,-0.143
35010237,Ontario,505,5,1.509,5,2.732,2,-0.628,5,0.967
35010238,Ontario,382,5,1.718,5,1.417,3,-0.439,5,1.510
35010239,Ontario,507,5,1.361,5,0.869,1,-0.790,5,0.829
35010240,Ontario,431,4,0.749,2,-0.478,2,-0.730,5,1.695
35010241,Ontario,599,5,1.003,4,0.368,3,-0.549,5,1.845
35010242,Ontario,484,5,0.920,4,0.592,3,-0.556,5,1.638
35010243,Ontario,489,4,0.371,5,0.966,2,-0.667,5,1.266
35010244,Ontario,604,5,1.195,4,0.548,3,-0.522,5,1.244
35010245,Ontario,564,5,1.322,4,0.608,2,-0.663,5,2.186
35010246,Ontario,506,5,0.768,5,1.048,1,-0.784,3,-0.107
35010247,Ontario,643,5,2.626,5,4.069,1,-0.848,5,0.806
35010248,Ontario,343,5,2.627,5,10.319,1,-1.336,2,-0.401
35010249,Ontario,475,4,0.676,5,1.272,2,-0.609,5,1.238
35010250,Ontario,350,3,-0.136,3,-0.247,1,-0.964,4,0.364
35010251,Ontario,348,1,-0.999,3,-0.022,1,-0.837,3,-0.047
35010252,Ontario,341,4,0.116,4,0.251,1,-0.796,4,0.249
35010253,Ontario,607,4,0.287,5,0.677,1,-0.786,2,-0.483
35010254,Ontario,376,2,-0.727,4,0.300,2,-0.698,2,-0.667
35010255,Ontario,221,3,-0.153,4,0.302,2,-0.598,4,0.367
35010256,Ontario,367,3,-0.300,4,0.181,2,-0.663,5,1.064
35010257,Ontario,390,4,0.509,3,0.040,1,-0.854,3,-0.351
35010258,Ontario,494,2,-0.527,4,0.513,2,-0.751,2,-0.533
35010259,Ontario,271,3,-0.253,4,0.106,1,-0.809,2,-0.637
35010260,Ontario,698,4,0.243,4,0.450,3,-0.377,4,0.531
35010261,Ontario,485,4,0.033,4,0.409,2,-0.561,5,0.861
35010262,Ontario,337,3,-0.149,5,0.926,3,-0.400,4,0.488
35010263,Ontario,263,2,-0.655,5,1.596,1,-1.017,2,-0.458
